ID,Region,Cultivar,Leaf_N_stage2_g_kg,Leaf_P_stage2_g_kg,Leaf_K_stage2_g_kg,Leaf_Mg_stage2_g_kg,Leaf_Ca_stage2_g_kg,Leaf_B_stage2_g_kg,Leaf_Cu_stage2_g_kg,Leaf_Zn_stage2_g_kg,Leaf_Mn_stage2_g_kg,Leaf_Fe_stage2_g_kg,Fruit_yield_Mg_ha,Yield class
2014_047,Quebec,Stevens,9.1665,0.695,4.8,1.559,7.308,0.0656,0.002,0.014,0.162,0.111,40.11,High yield
2014_048,Quebec,Stevens,9.9228,0.815,5.525,1.608,6.973,0.066,0.002,0.011,0.175,0.136,36.24,Low yield
2014_049,Quebec,Stevens,9.4751,0.809,5.115,1.806,7.376,0.0708,0.003,0.014,0.164,0.119,42.01,High yield
2014_050,Quebec,Stevens,10.416,0.76,4.904,1.753,7.097,0.0828,0.002,0.011,0.167,0.13,41.71,High yield
2014_051,Quebec,Stevens,9.9265,0.859,5.121,1.645,7.226,0.0714,0.003,0.02,0.19,0.097,43.62,High yield
2014_052,Quebec,Stevens,9.5918,0.887,5.517,1.69,7.851,0.0651,0.003,0.017,0.185,0.106,40.57,High yield
2014_053,Quebec,Stevens,8.359,0.689,4.216,1.667,7.24,0.0632,0.002,0.017,0.183,0.154,47.47,High yield
2014_054,Quebec,Stevens,9.9019,0.827,4.554,1.949,7.725,0.071,0.002,0.028,0.188,0.132,29.98,Low yield
2014_055,Quebec,Stevens,9.748,0.842,5.483,1.882,7.586,0.0782,0.002,0.016,0.155,0.08,48.06,High yield
2014_056,Quebec,Stevens,10.201,0.989,5.342,1.977,8.513,0.0625,0.004,0.012,0.165,0.1,28.39,Low yield
2014_057,Quebec,Stevens,9.0718,0.755,4.896,1.747,7.61,0.0722,0.003,0.03,0.143,0.131,54.88,High yield
2014_058,Quebec,Stevens,9.624,0.79,5.263,1.586,7.39,0.0601,0.002,0.01,0.16,0.096,34,Low yield
2014_059,Quebec,Stevens,9.8828,0.833,5.242,1.858,7.802,0.0704,0.003,0.018,0.191,0.144,47.73,High yield
2014_060,Quebec,Stevens,8.9242,0.748,5.525,1.49,6.205,0.0598,0.002,0.013,0.169,0.099,42,High yield
2014_061,Quebec,Stevens,10.171,0.835,5.447,1.527,6.364,0.0398,0.002,0.011,0.155,0.098,38.81,Low yield
2014_062,Quebec,Stevens,9.6282,0.767,5.216,1.651,6.641,0.0427,0.003,0.015,0.181,0.122,28.16,Low yield
2014_063,Quebec,Stevens,8.6202,0.77,5.005,1.632,6.958,0.0699,0.003,0.013,0.141,0.09,50.62,High yield
2014_064,Quebec,Stevens,9.8954,0.803,5.123,1.741,7.256,0.0618,0.003,0.028,0.178,0.136,30.5,Low yield
2014_065,Quebec,Stevens,9.3396,0.762,5.064,1.647,7.608,0.0705,0.002,0.011,0.195,0.124,45.8,High yield
