ID,Region,Cultivar,Leaf_N_stage2_g_kg,Leaf_P_stage2_g_kg,Leaf_K_stage2_g_kg,Leaf_Mg_stage2_g_kg,Leaf_Ca_stage2_g_kg,Leaf_B_stage2_g_kg,Leaf_Cu_stage2_g_kg,Leaf_Zn_stage2_g_kg,Leaf_Mn_stage2_g_kg,Leaf_Fe_stage2_g_kg,Fruit_yield_Mg_ha,Yield class
2016_114,Quebec,Stevens,11.004,0.998048062,5.550351535,1.83882276,7.162676468,0.101991511,0.004122263,0.018201625,0.238640155,0.057689566,32.53,Low yield
2016_115,Quebec,Stevens,9.2318,1.151098241,6.145037538,1.621024037,7.235892068,0.085248027,0.003108492,0.016798483,0.244674438,0.050978174,49.24,High yield
2016_116,Quebec,Stevens,11.169,1.109874604,5.683263651,1.819181772,7.066316688,0.085049397,0.004143791,0.017486236,0.211313104,0.052719487,38.18,Low yield
2016_117,Quebec,Stevens,12.015,1.190564343,6.374198318,1.659549019,5.266442455,0.090452197,0.003892835,0.015925757,0.172364785,0.060938204,46.1,High yield
2016_118,Quebec,Stevens,9.7937,1.406766252,6.465934254,1.719078089,5.999881403,0.076814028,0.004592682,0.019829575,0.240047236,0.043769162,43.08,High yield
2016_119,Quebec,Stevens,9.6656,0.982046469,5.915075072,1.830464244,7.736252607,0.116406379,0.004176808,0.01963634,0.22644928,0.080361329,54.2,High yield
2016_120,Quebec,Stevens,9.862,0.967799509,5.823467611,1.608215935,7.41390195,0.077615044,0.003573283,0.016752736,0.204298929,0.042291215,49.57,High yield
2016_121,Quebec,Stevens,9.4715,1.103513549,6.442063291,1.746695455,5.956398442,0.104397948,0.00393879,0.015400641,0.169707879,0.053537826,44.43,High yield
2016_122,Quebec,Stevens,9.371,1.160593325,6.00630116,1.76632755,7.345809618,0.077790513,0.003878698,0.018220086,0.247342368,0.051177862,39.58,Low yield
2016_123,Quebec,Stevens,9.4973,1.211655634,6.65878017,1.741994318,6.485414395,0.088598865,0.00421389,0.018337519,0.200991601,0.056738628,50.38,High yield
2016_124,Quebec,Stevens,9.7878,1.125539142,5.778572388,1.802084329,7.30166684,0.070318248,0.00398713,0.018191656,0.20679618,0.041222154,35.87,Low yield
2016_125,Quebec,Stevens,10.435,1.170056189,5.249220056,1.780182069,7.385528469,0.076203272,0.004123331,0.01764509,0.231593101,0.068658179,54.03,High yield
2016_126,Quebec,Stevens,11.177,1.296666791,5.369259481,1.800085433,6.93569817,0.066328281,0.003795356,0.017784339,0.298131184,0.043453374,40.08,High yield
2016_127,Quebec,Stevens,10.117,1.155015816,5.398556613,1.78953277,6.10048156,0.097913633,0.003878217,0.017485475,0.254395722,0.04969241,42.19,High yield
2016_128,Quebec,Stevens,9.5101,1.087191272,4.831086982,1.935471343,7.163064262,0.105382897,0.003806309,0.019194513,0.148518263,0.048491479,34.26,Low yield
2016_129,Quebec,Stevens,10.202,1.04359563,5.444321922,1.66429775,5.875067944,0.108391683,0.003906075,0.016780287,0.195290228,0.07385026,42.03,High yield
2016_130,Quebec,Stevens,10.024,1.168201195,5.678843764,1.845191664,6.939266763,0.08662969,0.00366958,0.018606827,0.225660829,0.046289558,43.35,High yield
2016_131,Quebec,Stevens,9.6485,1.064901542,5.890839458,1.713476185,6.429090449,0.083652634,0.003570281,0.017866245,0.174544125,0.05991257,58.93,High yield
2016_132,Quebec,Stevens,9.0174,1.139156575,5.508068097,1.789756426,6.994338353,0.093313227,0.004107435,0.019150117,0.273501815,0.047632224,35.79,Low yield
2016_133,Quebec,Stevens,9.3936,1.137671958,5.348487146,1.778422395,7.07471859,0.041574976,0.003807026,0.017987945,0.223064858,0.065284851,34.53,Low yield
2016_134,Quebec,Stevens,10.493,1.143720184,5.646806232,1.786382965,7.00172011,0.067272789,0.003486068,0.019113182,0.242671732,0.060177047,44.27,High yield
2016_135,Quebec,Stevens,9.8203,1.083182642,5.708614271,1.749321769,6.595020572,0.091506,0.003695599,0.018332466,0.184326269,0.058618506,40.15,High yield
2016_136,Quebec,Stevens,10.081,1.154640761,3.251251391,1.830331148,6.270177532,0.060322147,0.004621665,0.013510851,0.183577573,0.060253369,49.46,High yield
2016_137,Quebec,Stevens,10.018,1.15400234,3.15675207,1.773638906,6.50258381,0.051930524,0.003974165,0.012805154,0.250610258,0.052747002,40.18,High yield
2016_138,Quebec,Stevens,9.2182,1.038134964,2.548693205,1.992598095,8.312395957,0.071076054,0.003995136,0.014949472,0.256152311,0.049119334,41.66,High yield
2016_139,Quebec,Stevens,8.6845,1.092634399,3.087980368,1.704923582,6.985732134,0.059730489,0.004141913,0.013299927,0.219069572,0.06211514,42.87,High yield
2016_140,Quebec,Stevens,11.018,1.10358349,2.886370507,1.833443273,6.956486137,0.061391689,0.004066414,0.011260608,0.1781219,0.055430317,38.99,Low yield
2016_141,Quebec,Stevens,10.51,1.135660831,3.087825564,1.599029757,7.016747443,0.060677408,0.003900424,0.012841908,0.22372758,0.06527016,52.88,High yield
2016_142,Quebec,Stevens,10.675,1.27802633,3.02093242,1.688846717,7.22171355,0.050383108,0.003964639,0.013779022,0.254913801,0.045060873,41.25,High yield
2016_143,Quebec,Stevens,11.551,1.133579484,3.079628225,1.842293282,7.255264939,0.083556572,0.003531601,0.013357249,0.215370533,0.058507418,56.91,High yield
2016_144,Quebec,Stevens,10.638,1.205221329,2.785141023,1.796391336,6.436705617,0.077449278,0.004087479,0.013269728,0.251112282,0.04818273,38.62,Low yield
2017_001,Quebec,Stevens,5.1893,1.072443036,6.101404346,1.605818493,5.296554882,0.067154874,0.005288311,0.016208998,0.499160425,0.200450114,10.96,Low yield
2017_002,Quebec,Stevens,5.3936,1.148721679,5.930582621,2.020516577,6.308205792,0.102249764,0.004563894,0.015623914,0.404946172,0.232447802,13.71,Low yield
2017_003,Quebec,Stevens,5.8159,1.08521378,5.790595498,2.3926773,7.698388749,0.10745337,0.003725348,0.016671961,0.346152999,0.163974735,17.27,Low yield
2017_004,Quebec,Stevens,5.5481,1.086822603,5.978636857,1.954718753,6.503759449,0.07772346,0.004451123,0.018420201,0.329862301,0.119094242,17.07,Low yield
2017_005,Quebec,Stevens,6.259,0.950852169,5.80117813,2.269160301,8.03579946,0.071981898,0.003523523,0.017872342,0.241028885,0.107421671,21.26,Low yield
2017_006,Quebec,Stevens,7.6663,0.930393572,5.906633949,2.390304781,7.951408966,0.067411666,0.004228432,0.017423958,0.250077688,0.137406387,24.73,Low yield
2017_007,Quebec,Stevens,7.8353,0.932462038,5.252667522,2.403161363,9.356000573,0.080313623,0.00376056,0.01825867,0.266369303,0.114043657,23.75,Low yield
2017_008,Quebec,Stevens,8.0539,0.978100196,6.206901738,2.082908249,8.498812662,0.092930458,0.004389366,0.018494082,0.193823231,0.13237983,23.5,Low yield
2017_009,Quebec,Stevens,10.415,1.074593796,6.247224333,2.107045399,7.759347937,0.048918,0.004139052,0.017033146,0.138392477,0.163121716,21.96,Low yield
2017_010,Quebec,Stevens,9.3481,0.966717747,6.081617865,1.919924184,7.376550839,0.0411995,0.004532647,0.019973009,0.180522791,0.113659998,25.71,Low yield
2017_011,Quebec,Stevens,5.8834,1.016649604,6.368752081,2.306338932,7.519695823,0.078895607,0.003367201,0.016798942,0.251233103,0.193466427,6.86,Low yield
2017_012,Quebec,Stevens,5.81,1.062137964,5.961504659,1.950769302,7.047014238,0.074276941,0.004648123,0.015551554,0.282806048,0.174115731,5.66,Low yield
2017_013,Quebec,Stevens,8.1969,1.046265356,6.982651946,2.295752023,6.754006482,0.067969786,0.004075289,0.014944459,0.265970664,0.126022213,24.68,Low yield
2017_014,Quebec,Stevens,8.3887,1.034407285,7.779757058,2.268190009,7.226334727,0.128839138,0.003814818,0.014347308,0.286850633,0.113024926,20.78,Low yield
2017_015,Quebec,Stevens,8.1738,0.868593961,5.677588051,2.198207362,9.033508642,0.054738362,0.003689733,0.018345469,0.179566013,0.09842592,30.85,Low yield
2017_016,Quebec,Stevens,8.6396,0.929024286,5.555917589,2.270654061,8.618898888,0.112572048,0.003732586,0.019142488,0.190670038,0.092677436,22.86,Low yield
2017_017,Quebec,Stevens,8.016,1.05128686,5.342532748,2.51667111,9.030787293,0.054831518,0.003451209,0.018304036,0.25322595,0.132043924,18.05,Low yield
2017_018,Quebec,Stevens,7.9547,1.027697958,5.116130805,2.29515989,8.81901216,0.066010769,0.003997219,0.020911877,0.240841534,0.103821458,23.52,Low yield
2017_019,Quebec,Stevens,7.8737,0.94436035,5.71250868,2.308302294,8.301646153,0.080675502,0.003661727,0.01864868,0.217362359,0.146446648,23.16,Low yield
2017_020,Quebec,Stevens,8.9415,0.882358139,6.129440708,2.32676868,8.695510883,0.220485868,0.004404541,0.019050638,0.221822325,0.113265891,21.11,Low yield
2017_021,Quebec,Stevens,8.0839,0.791825389,5.759317245,2.301318671,8.296543869,0.114565178,0.003413755,0.017124666,0.193643697,0.113953887,22.91,Low yield
2017_022,Quebec,Stevens,8.3268,0.940620083,6.131048749,2.2016967,8.348636636,0.091542266,0.004223295,0.019163863,0.2213728,0.083899871,19.16,Low yield
2017_023,Quebec,Stevens,7.691,0.948258643,5.745006112,2.256525763,8.542997949,0.080158568,0.00370349,0.019170744,0.256568733,0.090102082,22.23,Low yield
2017_024,Quebec,Stevens,7.776,0.926209767,6.243292994,1.95888745,7.699353835,0.078547704,0.003369005,0.016026875,0.145796249,0.077678633,18.02,Low yield
2017_025,Quebec,Stevens,5.9214,1.062428056,5.187134458,2.110563745,6.627738189,0.064163953,0.003625893,0.016301621,0.263274316,0.108347897,11.95,Low yield
2017_026,Quebec,Stevens,6.864,1.151436477,6.024180381,2.269388468,7.771833818,0.1282909,0.004028461,0.017763636,0.270871191,0.115124069,14.56,Low yield
2017_027,Quebec,Stevens,6.9108,0.911117239,6.009544677,1.888709551,6.960614513,0.152202026,0.003560388,0.015599111,0.16819072,0.072687371,22.14,Low yield
2017_028,Quebec,Stevens,9.4838,1.045262137,6.490146196,2.081764202,7.751841885,0.107484724,0.004381574,0.016917938,0.161306655,0.127614817,24.55,Low yield
2017_029,Quebec,Stevens,7.0856,0.979986922,5.766183202,2.289378467,8.311401721,0.074229663,0.003740043,0.018807454,0.231414067,0.118270048,13.35,Low yield
2017_030,Quebec,Stevens,7.7805,1.017191743,5.505089216,2.269754245,8.412888184,0.080927559,0.003405022,0.017844523,0.249891766,0.105819498,18.23,Low yield
2017_031,Quebec,Stevens,8.4178,1.053709362,6.393851409,2.243012222,7.774337324,0.093170606,0.004110869,0.017417976,0.278130498,0.128196316,30.7,Low yield
2017_032,Quebec,Stevens,7.9316,1.031710061,6.018006468,2.289069424,8.040739702,0.16269995,0.003812605,0.016076905,0.305559529,0.093868812,22.96,Low yield
2017_033,Quebec,Stevens,8.94,0.969701621,5.842532473,2.147678965,8.056736507,0.057250958,0.003512944,0.017272152,0.174974057,0.102549903,18.52,Low yield
2017_034,Quebec,Stevens,9.1924,0.974220781,5.707791652,1.840658266,8.361816168,0.070899435,0.003975503,0.018411857,0.166795787,0.114823657,30.46,Low yield
2017_035,Quebec,Stevens,8.8397,0.987991399,5.478527998,2.427694138,9.298725144,0.109451779,0.003788223,0.018542636,0.265111671,0.116893378,17.37,Low yield
2017_036,Quebec,Stevens,9.1285,1.076745206,5.832671037,2.205941917,8.389203692,0.105732149,0.004005282,0.01646353,0.2981204,0.083730044,29.19,Low yield
2017_037,Quebec,Stevens,7.2021,0.896179721,5.988183519,1.516669163,6.22873288,0.03008888,0.003913711,0.019052755,0.306960007,0.055737226,9.77,Low yield
2017_038,Quebec,Stevens,6.8685,0.879982317,6.011853101,1.663697028,6.743802034,0.041438048,0.003985868,0.020382193,0.443094112,0.135970263,9.48,Low yield
2017_039,Quebec,Stevens,7.3274,0.885163888,5.86927951,1.590905119,6.730413989,0.033482668,0.003683341,0.018400647,0.296198176,0.054073173,24.63,Low yield
2017_040,Quebec,Stevens,8.1505,0.974893334,6.094535913,1.73285075,7.200948898,0.03282496,0.003572935,0.019254122,0.315830831,0.052155894,18.22,Low yield
2017_041,Quebec,Stevens,7.5466,0.988536118,6.38177129,1.872181894,7.824005841,0.036407207,0.003916747,0.020358791,0.255053891,0.048995547,32.94,Low yield
2017_042,Quebec,Stevens,7.6596,0.942756437,5.745780719,2.024255897,8.700441996,0.051368253,0.003864066,0.024664058,0.304713958,0.062880249,31.93,Low yield
2017_043,Quebec,Stevens,6.6583,1.006136689,5.999297616,1.604383751,6.259100199,0.033818522,0.003816712,0.021328165,0.26300285,0.035047464,30.01,Low yield
2017_044,Quebec,Stevens,8.1526,0.906621593,5.647762072,1.71767844,7.230848774,0.040570211,0.003537395,0.019950366,0.257729562,0.046269423,28.37,Low yield
2017_045,Quebec,Stevens,9.7386,1.122216228,6.494446714,1.908439585,6.216442688,0.038873617,0.003750729,0.021114764,0.196231181,0.044803023,35.88,Low yield
2017_046,Quebec,Stevens,7.8619,0.930026534,6.19325071,1.819924585,7.316672007,0.031853457,0.003742958,0.021317089,0.227626782,0.037979018,36.79,Low yield
2017_047,Quebec,Stevens,6.9845,0.825586359,6.227739091,1.616053689,6.689244844,0.041967974,0.003729202,0.019069704,0.316488325,0.047184921,15.78,Low yield
2017_048,Quebec,Stevens,7.7733,0.827644014,6.590592321,1.478253804,6.83958813,0.050346089,0.003242444,0.017467793,0.328343341,0.06330341,22.96,Low yield
2017_049,Quebec,Stevens,7.7349,1.051967998,6.565031311,1.728175327,6.377440853,0.037279415,0.003652999,0.01868429,0.19071987,0.043752218,34.02,Low yield
2017_050,Quebec,Stevens,8.3478,1.011491008,6.409753606,1.815733779,6.949000317,0.041582017,0.003466903,0.01696227,0.234022526,0.047006864,41.96,High yield
2017_051,Quebec,Stevens,7.8363,1.089642876,5.715880965,1.736603969,7.178537472,0.030376283,0.004016403,0.021481977,0.204330847,0.036229697,27.79,Low yield
2017_052,Quebec,Stevens,7.7638,1.053408598,5.648249933,1.800476796,7.693248684,0.029017512,0.003720635,0.024067725,0.254517295,0.038579171,45.32,High yield
2017_053,Quebec,Stevens,6.5865,1.023457056,6.056130202,1.643297295,6.77456354,0.029048552,0.003818348,0.021695776,0.294173489,0.048631008,25.52,Low yield
2017_054,Quebec,Stevens,8.1222,0.993430767,6.539164216,1.866027005,6.915342074,0.039816557,0.003503032,0.02209022,0.238838336,0.044524959,41.29,High yield
2017_055,Quebec,Stevens,7.9747,1.122117431,6.146346352,1.812234739,6.586081646,0.035999073,0.004325151,0.021457856,0.222745538,0.040977242,31.66,Low yield
2017_056,Quebec,Stevens,7.8666,1.025922172,6.10390157,1.994924144,8.203723881,0.043857974,0.003639591,0.023785311,0.415717512,0.05389709,41.99,High yield
2017_057,Quebec,Stevens,8.1468,1.01999917,6.147388586,1.759514537,6.577704255,0.032469681,0.003641777,0.018670069,0.238741104,0.039898249,33.3,Low yield
2017_058,Quebec,Stevens,6.842,0.862712734,5.770291872,1.721906976,7.673691505,0.028294193,0.003325913,0.020515587,0.220608656,0.034340661,39.93,Low yield
2017_059,Quebec,Stevens,8.512,1.107651124,6.559735069,1.870001112,6.723295966,0.037080918,0.003727541,0.021537132,0.21893026,0.044397136,30.23,Low yield
2017_060,Quebec,Stevens,8.1785,0.977231993,6.152851475,1.942982661,8.169810776,0.046279133,0.003216486,0.023673328,0.278240817,0.04400625,31.5,Low yield
2017_061,Quebec,Stevens,7.6953,1.022796036,5.693084458,1.760859538,7.653722413,0.039761322,0.003913711,0.020042985,0.21528575,0.047728382,31.02,Low yield
2017_062,Quebec,Stevens,8.3422,0.907453813,5.191383851,1.820285205,8.01955831,0.040944142,0.003650275,0.021622288,0.342522634,0.053135984,34.43,Low yield
2017_063,Quebec,Stevens,8.0368,0.961405202,6.295597614,1.766656263,7.187137675,0.040868573,0.004023487,0.020927188,0.24164669,0.046917773,28.72,Low yield
2017_064,Quebec,Stevens,7.7172,0.981586495,5.87268122,1.719349369,7.118769424,0.036357192,0.005779881,0.020604115,0.20251519,0.039272919,22.32,Low yield
2017_065,Quebec,Stevens,7.1898,0.928501172,5.910483128,1.662675309,6.778571982,0.036392553,0.003503032,0.022380626,0.344986397,0.05617991,28.73,Low yield
2017_066,Quebec,Stevens,7.3657,0.905575774,5.740803546,1.576713305,7.252864654,0.042230665,0.002926325,0.018923422,0.371199923,0.067986997,40.86,High yield
2017_067,Quebec,Stevens,8.5236,0.993974272,7.72802896,1.803113216,6.124320253,0.041926145,0.003434502,0.015604774,0.279615587,0.056002569,41.45,High yield
2017_068,Quebec,Stevens,6.6233,1.033473604,8.938177397,1.687479179,4.293625617,0.035495254,0.003492359,0.01571487,0.236801169,0.039204147,31.6,Low yield
2017_069,Quebec,Stevens,8.0171,1.043308229,6.095625784,1.901228402,7.723300373,0.038186509,0.003818348,0.021342361,0.259176442,0.040905669,34.63,Low yield
2017_070,Quebec,Stevens,7.6807,0.929718894,6.146426447,1.629795211,7.073487825,0.037099175,0.003320331,0.022155176,0.298517822,0.071603248,17.89,Low yield
2017_071,Quebec,Stevens,7.5871,1.111006456,6.693794357,1.790894405,6.399227437,0.034487566,0.003938037,0.018504828,0.249191631,0.033919259,32.33,Low yield
2017_072,Quebec,Stevens,7.6355,1.155144044,7.414758781,1.69321413,4.743385646,0.027225154,0.003631341,0.015116189,0.183521938,0.033743776,37.37,Low yield
2017_073,Quebec,Stevens,5.9496,1.045924145,7.237090795,2.087503516,9.35202477,0.115195457,0.00474988,0.029262762,0.452009081,0.180067516,2.57,Low yield
2017_074,Quebec,Stevens,6.0732,1.118012312,7.721347269,1.914596368,8.880439142,0.138622947,0.005334589,0.027697931,0.474572199,0.232206019,1.1,Low yield
2017_075,Quebec,Stevens,6.2493,0.989391056,7.301324247,1.837694775,8.207542467,0.081516816,0.005086763,0.026579397,0.517189382,0.185224951,2.32,Low yield
2017_076,Quebec,Stevens,7.0311,1.092854734,6.96161048,1.81503241,8.217420976,0.072101682,0.00428563,0.023534591,0.38602893,0.126854359,3.04,Low yield
2017_077,Quebec,Stevens,7.4251,1.210365066,7.477261035,1.920809297,8.616898127,0.085524962,0.003658101,0.024281945,0.454337817,0.079755846,3.33,Low yield
2017_078,Quebec,Stevens,7.9389,1.26323753,8.33120053,1.830132402,7.522924279,0.094754587,0.004377377,0.022882609,0.437169137,0.065069939,1.09,Low yield
2017_079,Quebec,Stevens,8.8578,1.11757271,7.800028996,1.776667194,7.574478884,0.062448288,0.003755495,0.02462961,0.423293373,0.125255701,7.99,Low yield
2017_080,Quebec,Stevens,8.5544,1.200446694,9.516560704,1.745764977,5.892139993,0.115670176,0.004094849,0.02040755,0.303422246,0.068596283,2.15,Low yield
2017_081,Quebec,Stevens,9.3971,1.05542484,8.063318976,1.902181499,6.695062041,0.090025917,0.003662685,0.022243871,0.469344681,0.075410199,2.15,Low yield
2017_082,Quebec,Stevens,10.076,1.259331802,7.573859607,1.772488147,5.18081256,0.050882357,0.003746102,0.022263029,0.309875962,0.048567063,1.7,Low yield
2017_083,Quebec,Stevens,5.9153,1.091322506,7.979796573,1.895165827,7.837488608,0.085046915,0.003539684,0.023449288,0.296470581,0.096069371,2.19,Low yield
2017_084,Quebec,Stevens,5.0437,1.111546923,8.659495105,1.784341561,7.93989703,0.16024249,0.003905438,0.024244792,0.202572848,0.079628822,2.89,Low yield
2017_085,Quebec,Stevens,9.67,1.322353749,9.126801506,2.000287971,6.441533425,0.07201066,0.01305424,0.021369024,0.495901543,0.090326561,2.56,Low yield
2017_086,Quebec,Stevens,9.03,1.484089793,9.049257115,2.037401358,4.658995086,0.068927912,0.004765322,0.018680266,0.359245522,0.052340169,2.12,Low yield
2017_087,Quebec,Stevens,6.1718,1.03842584,7.730425552,1.921648308,8.174715169,0.094563821,0.004006151,0.024734723,0.303081427,0.086534054,2.98,Low yield
2017_088,Quebec,Stevens,7.4746,1.01045942,6.905228239,1.737923992,7.741651664,0.09443795,0.003207862,0.020358336,0.205046654,0.049917544,2.94,Low yield
2017_089,Quebec,Stevens,8.2313,1.013370935,5.839360689,2.427597223,10.0510093,0.097721887,0.003667412,0.026810687,0.453931477,0.083823288,1.61,Low yield
2017_090,Quebec,Stevens,9.4438,1.202500076,4.288283189,2.347812855,7.139153636,0.093678509,0.003464926,0.020445665,0.323311364,0.064007662,2.12,Low yield
2017_091,Quebec,Stevens,8.8608,1.149718584,7.018718176,2.026912704,8.649787051,0.070875984,0.003979969,0.024984857,0.376385501,0.121339224,4.41,Low yield
2017_092,Quebec,Stevens,8.7852,1.385155251,6.822103362,1.709048311,5.954843212,0.048021704,0.00388362,0.021186181,0.330850247,0.057592937,2.12,Low yield
2017_093,Quebec,Stevens,7.9231,1.413870229,8.442208698,1.776613208,6.947530169,0.06225997,0.004634662,0.021537284,0.441197931,0.072853754,4.07,Low yield
2017_094,Quebec,Stevens,7.661,1.256969652,7.576826031,1.738436294,6.188652037,0.06569857,0.004042001,0.021765311,0.423339397,0.046182207,3.48,Low yield
2017_095,Quebec,Stevens,8.3016,1.27154187,8.433918983,1.794071922,6.67567328,0.052776008,0.004189894,0.022792937,0.413826508,0.062982641,3.47,Low yield
2017_096,Quebec,Stevens,8.3896,1.303746663,8.080894276,1.740145333,5.595350345,0.063517431,0.003871552,0.018972513,0.252038953,0.049072304,1.76,Low yield
2017_097,Quebec,Stevens,8.4551,1.082317848,8.271587984,1.665117281,7.995935257,0.073075494,0.003465206,0.022696694,0.29424512,0.134162969,2.13,Low yield
2017_098,Quebec,Stevens,7.4303,1.301577734,8.293731997,1.464008452,6.653028851,0.06748768,0.003256901,0.020908865,0.268518778,0.044545386,5.6,Low yield
2017_099,Quebec,Stevens,7.397,1.173249453,7.594277406,1.673861531,7.374488858,0.074006057,0.003912765,0.023090423,0.41680911,0.076497429,4.81,Low yield
2017_100,Quebec,Stevens,7.0313,1.27897114,7.4840464,1.835458893,6.928141183,0.054430916,0.003996633,0.021634336,0.344487048,0.048645171,2.88,Low yield
2017_101,Quebec,Stevens,7.8025,1.189969922,8.888251359,1.759962883,7.254333812,0.07175717,0.003644245,0.022318085,0.267142201,0.054902792,1.88,Low yield
2017_102,Quebec,Stevens,7.4158,1.249910543,8.819891505,1.520329508,5.936346072,0.06170196,0.003749751,0.018711015,0.261483462,0.0531489,7.48,Low yield
2017_103,Quebec,Stevens,8.1761,1.236819131,7.753493764,2.025094538,6.68423802,0.06225997,0.003893587,0.021594507,0.451776343,0.058935105,4.59,Low yield
2017_104,Quebec,Stevens,7.6423,1.184364501,8.896339029,1.589165044,4.591639858,0.065464735,0.003811863,0.020036242,0.404409834,0.056741367,2.13,Low yield
2017_105,Quebec,Stevens,8.357,1.281329512,8.86915085,1.525740457,6.822501395,0.096462696,0.003600566,0.020744489,0.329012297,0.089287106,1.47,Low yield
2017_106,Quebec,Stevens,8.349,1.389466824,9.003067299,1.332816163,4.840611316,0.049273928,0.003293981,0.018830202,0.210773764,0.045629613,7.45,Low yield
2017_107,Quebec,Stevens,7.4259,1.161123946,7.449006068,1.88964876,7.82409437,0.072994585,0.003559607,0.022763189,0.547439867,0.088764731,2.46,Low yield
2017_108,Quebec,Stevens,5.6037,1.397621471,7.945583597,1.868086926,6.053257973,0.059350057,0.004236883,0.020791476,0.376431381,0.053736181,5.55,Low yield
2017_109,Quebec,Stevens,6.1329,0.793635461,6.763977914,1.891149103,9.936956817,0.085572202,0.003380122,0.020001385,0.190571715,0.187971138,5.15,Low yield
2017_110,Quebec,Stevens,5.8823,0.821468672,7.228777528,1.740675608,8.420591128,0.138134303,0.004471171,0.020036035,0.211192526,0.170282327,2.48,Low yield
2017_111,Quebec,Stevens,6.4624,0.841931498,6.637799232,1.629681396,7.488253677,0.069185933,0.003880607,0.01942152,0.182403142,0.151891928,3.87,Low yield
2017_112,Quebec,Stevens,7.2994,0.859911058,7.039556493,1.735707009,8.59841331,0.070937169,0.004366932,0.022015152,0.25468503,0.119434983,5.15,Low yield
2017_113,Quebec,Stevens,7.5495,0.914983259,7.665246544,1.768560432,7.408600628,0.076476385,0.003804962,0.020307194,0.176125531,0.093705734,11.29,Low yield
2017_114,Quebec,Stevens,9.0554,1.007466597,9.157833326,1.696366176,6.49608994,0.215449322,0.003655329,0.014981664,0.169135467,0.060818288,14.06,Low yield
2017_115,Quebec,Stevens,9.1505,1.048516054,6.789220774,1.661851773,7.706024186,0.054767702,0.004366979,0.018171515,0.20329953,0.089572421,9.01,Low yield
2017_116,Quebec,Stevens,8.9285,1.197500147,7.560580148,1.513691321,4.966484173,0.059024231,0.003858891,0.013928422,0.135693967,0.048029446,5,Low yield
2017_117,Quebec,Stevens,10.148,1.008905859,7.921901307,1.601758079,5.177708883,0.079432721,0.003514765,0.017218249,0.148963922,0.05360455,6.37,Low yield
2017_118,Quebec,Stevens,10.532,1.261025387,7.670749889,1.59672483,4.546739187,0.043233269,0.004701305,0.019040507,0.147599531,0.05248567,3.19,Low yield
2017_119,Quebec,Stevens,9.0002,0.861615817,7.780575836,1.617427126,7.072095015,0.084544497,0.003765997,0.017775276,0.211817768,0.075178035,20.07,Low yield
2017_120,Quebec,Stevens,10.192,0.82513185,7.558139175,1.513132283,6.528579872,0.096569352,0.00359889,0.017138554,0.183208681,0.065886502,8.96,Low yield
2017_121,Quebec,Stevens,9.1079,1.087583206,8.550165686,1.583135551,5.49338099,0.068691661,0.003829814,0.015246072,0.156464164,0.062870471,13.22,Low yield
2017_122,Quebec,Stevens,9.7907,1.10831295,6.648110686,1.484457134,5.507076547,0.047230608,0.003376093,0.01568055,0.155218022,0.050203684,5.12,Low yield
2017_123,Quebec,Stevens,10.138,1.086139762,7.669178695,1.661153426,6.227036557,0.08295798,0.003812394,0.017525503,0.165028128,0.079138549,13.07,Low yield
2017_124,Quebec,Stevens,10.188,1.165036333,7.247745494,1.620551994,5.543489025,0.059665829,0.003502566,0.01499706,0.134121735,0.046723631,5.49,Low yield
2017_125,Quebec,Stevens,9.5703,0.976060805,4.848564098,2.126526195,8.971731543,0.074131294,0.003594133,0.020203907,0.198577738,0.085064915,14.49,Low yield
2017_126,Quebec,Stevens,9.7654,1.226656723,5.868968576,1.792040365,5.893930503,0.038134865,0.003905207,0.018145565,0.162133124,0.04475918,6.79,Low yield
2017_127,Quebec,Stevens,9.1233,1.159729412,7.611763325,1.924128975,6.31877589,0.06417262,0.004596313,0.017418253,0.160783318,0.059379739,8.55,Low yield
2017_128,Quebec,Stevens,10.546,1.233542261,8.522611624,1.607320658,4.949601672,0.192004422,0.006119185,0.015530768,0.139847256,0.050309647,5.79,Low yield
2017_129,Quebec,Stevens,9.042,1.079573909,7.761983026,1.655959731,5.966850117,0.070747118,0.003832282,0.01667634,0.134493569,0.104597932,8.32,Low yield
2017_130,Quebec,Stevens,10.202,1.069503257,8.058642676,1.605213249,5.403420209,0.106323836,0.003693304,0.015200765,0.141308705,0.047567858,10.77,Low yield
2017_131,Quebec,Stevens,9.1842,1.050243168,8.349583899,1.679528293,6.849986963,0.082858391,0.004195499,0.018631474,0.203946895,0.103991877,14.39,Low yield
2017_132,Quebec,Stevens,10.211,1.309893775,8.263865815,1.507924625,4.563006997,0.041085689,0.004320739,0.016221037,0.148193477,0.045291372,4.62,Low yield
2017_133,Quebec,Stevens,9.1031,1.311641316,6.659164619,1.964830934,6.961397317,0.031157728,0.003342753,0.018236013,0.155391054,0.076023286,6.22,Low yield
2017_134,Quebec,Stevens,9.3577,1.153472194,6.868623226,1.743523711,6.651891564,0.026116716,0.003454567,0.016669074,0.200507662,0.053962752,16.53,Low yield
2017_135,Quebec,Stevens,10.485,1.088737985,8.408658577,1.666062099,5.884148592,0.084051645,0.003819854,0.017905947,0.166484129,0.080731382,15.8,Low yield
2017_136,Quebec,Stevens,9.7676,1.342000537,7.881314788,1.603651868,4.7386361,0.039230879,0.004077427,0.015452253,0.163637994,0.0514353,5.38,Low yield
