Leaf_Mn_stage2_g_kg,Leaf_Fe_stage2_g_kg,Leaf_N_stage2_g_kg,Leaf_P_stage2_g_kg,Leaf_K_stage2_g_kg,Leaf_Mg_stage2_g_kg,Leaf_Ca_stage2_g_kg,Leaf_B_stage2_g_kg,Leaf_Cu_stage2_g_kg,Leaf_Zn_stage2_g_kg,Region,Cultivar,Yield class,ID,Yield class(Random Forest)
continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,Massachusetts Quebec Washington Wisconsin,BG Ben\ Lear Bergman Crimson\ Queen DeMoranville Early\ Black Grygleski\ Hybrid\ 1 Howes HyRed LeMunyon McFarlin Mullica\ Queen Pilgrim Ruby\ Star Searles Stevens Sundance Wilcox,High\ yield Low\ yield,string,High\ yield Low\ yield
,,,,,,,,,,,,class,meta,meta
0.602,0.066,11.3,1.1,5.9,1.9,6.3,0.032,0.004,0.018,Quebec,Stevens,High yield,2014_B_055,High yield
0.7015,0.0589,6.7,0.9,3.9,2.1,8.9,0.0197,0.0053,0.0271,Wisconsin,Stevens,High yield,2016_W_019,High yield
0.133,0.049,9.9172,0.641,3.954,1.279,5.055,0.05,0.002,0.016,Quebec,Stevens,High yield,2015_131,High yield
0.466,0.074,10.3,1.2,5.5,2.1,8.4,0.039,0.005,0.021,Quebec,Stevens,High yield,2014_B_035,High yield
0.184,0.11,10.935,0.925,4.562,2.145,7.553,0.0553,0.003,0.009,Quebec,Stevens,High yield,2014_032,High yield
0.529,0.071,12.0,1.2,5.7,2.0,8.4,0.036,0.005,0.021,Quebec,Stevens,High yield,2014_B_034,High yield
0.522,0.067,12.0,1.1,5.9,1.9,7.9,0.037,0.005,0.019,Quebec,Stevens,High yield,2014_B_054,High yield
0.14941,0.06701,10.064,1.37199,6.58767,2.04434,7.05435,0.03558,0.00557,0.0205,Quebec,Stevens,High yield,2018_121,High yield
0.133,0.065,10.7,1.0,5.2,1.7,7.3,0.02,0.005,0.017,Quebec,Stevens,High yield,2014_B_068,High yield
0.2815,0.0669,12.2,1.7,5.9,2.7,12.6,0.0594,0.0024,0.0211,Wisconsin,Crimson Queen,High yield,AA_052,High yield
0.53,0.08,11.0,1.2,5.5,2.2,10.3,0.07,0.0,0.03,Quebec,Stevens,High yield,2016_C_040,High yield
0.3232,0.05651,8.8314,1.19587,5.90074,1.96628,6.8148,0.02905,0.00481,0.02026,Quebec,Stevens,High yield,2018_071,High yield
0.235,0.096,11.089,0.98,5.048,2.137,8.691,0.0237,0.002,0.004,Quebec,Stevens,High yield,2014_134,High yield
0.14,0.14,10.682,1.034,4.957,2.078,8.1,0.0561,0.002,0.004,Quebec,Stevens,High yield,2014_138,High yield
0.454,0.0662,10.0,0.9,4.6,1.7,9.8,0.024,0.00321,0.0212,Quebec,Stevens,High yield,2000_144,High yield
0.167,0.091,9.5422,1.023,4.735,2.255,8.223,0.0375,0.002,0.012,Quebec,Stevens,High yield,2014_133,High yield
1.0867,0.1121,7.5,1.4,5.5,2.2,6.9,0.0262,0.0044,0.0195,Wisconsin,Stevens,High yield,2013_W_013,High yield
0.48,0.0638,14.0,1.5,5.3,1.9,7.6,0.04,0.00431,0.0287,Quebec,Stevens,High yield,2000_058,High yield
,,11.3,1.7,5.3,,,,,,Wisconsin,Stevens,High yield,2014_W_002,High yield
0.333,0.108,10.2,1.0,4.0,2.0,10.0,0.033,0.006,0.022,Quebec,Stevens,High yield,2015_B_048,High yield
0.346,0.181,11.214,1.014,4.885,2.158,9.674,0.0793,0.004,0.025,Quebec,Stevens,High yield,2014_099,High yield
0.371199923,0.067986997,7.3657,0.905575774,5.740803546,1.576713305,7.252864654,0.042230665,0.002926325,0.018923422,Quebec,Stevens,High yield,2017_066,High yield
0.268153618,0.083962941,10.911,1.258917499,6.825915317,1.996394988,8.783646937,0.08363871,0.004283171,0.029542215,Quebec,Stevens,High yield,2016_098,High yield
0.19,0.097,9.9265,0.859,5.121,1.645,7.226,0.0714,0.003,0.02,Quebec,Stevens,High yield,2014_051,High yield
0.235946613,0.080614472,10.678,1.087962931,6.580665299,1.909782537,7.845070605,0.110826873,0.005166451,0.020141498,Quebec,Stevens,High yield,2016_015,High yield
0.13293,0.08001,10.051,1.37099,6.59104,2.00223,6.31208,0.02805,0.00521,0.02089,Quebec,Stevens,High yield,2018_136,High yield
0.29469,0.12902,9.5458,1.13818,5.36389,2.24583,9.70016,0.05161,0.0048,0.0225,Quebec,Stevens,High yield,2018_036,High yield
0.181,0.1,11.154,1.085,5.814,2.056,7.723,0.0603,0.003,0.003,Quebec,Stevens,High yield,2014_140,High yield
0.807,0.056,14.0,1.3,5.1,1.9,7.9,0.0341,0.00409,0.0221,Quebec,Stevens,High yield,2000_052,High yield
0.326557352,0.092410963,9.5496,1.156420306,7.009630763,1.701713105,6.620726206,0.071946998,0.00401477,0.025138758,Quebec,Stevens,High yield,2016_097,High yield
0.14655,0.06808,9.9717,1.33394,6.72205,2.11159,6.7481,0.03743,0.00556,0.02106,Quebec,Stevens,High yield,2018_135,High yield
0.18607,0.06456,9.3518,1.26299,5.92775,2.06874,7.51796,0.03008,0.00449,0.02085,Quebec,Stevens,High yield,2018_139,High yield
0.273,0.08,11.0,1.1,5.3,2.0,8.2,0.034,0.008,0.02,Quebec,Stevens,High yield,2014_B_062,High yield
0.727,0.0976,11.0,1.1,5.2,1.7,9.2,0.0234,0.00373,0.0239,Quebec,Stevens,High yield,2000_165,High yield
0.25809,0.11722,9.1294,1.0504,5.35862,2.2064,9.51542,0.05609,0.00473,0.02257,Quebec,Stevens,High yield,2018_027,High yield
0.35257,0.05098,9.1615,1.27723,5.89797,2.14969,7.46982,0.032,0.00462,0.02004,Quebec,Stevens,High yield,2018_072,High yield
0.337897541,0.046432112,12.072,1.489089182,7.668047717,1.860418176,5.607967849,0.07643274,0.004629902,0.024842373,Quebec,Stevens,High yield,2016_096,High yield
0.218,0.146,11.826,0.978,5.089,2.275,8.747,0.0673,0.003,0.014,Quebec,Stevens,High yield,2014_009,High yield
0.994,0.0701,12.0,1.0,5.6,1.6,10.7,0.0339,0.00519,0.0339,Quebec,Stevens,High yield,2001_027,High yield
0.403,0.107,11.083,0.955,4.95,2.1,9.128,0.0567,0.003,0.022,Quebec,Stevens,High yield,2014_081,High yield
0.106,0.033,9.6,1.0,5.0,1.0,9.0,0.014,0.004,0.019,Quebec,Wilcox,High yield,2015_B_033,High yield
0.171,0.067,10.7,0.9,5.1,2.0,8.5,0.028,0.006,0.017,Quebec,Stevens,High yield,2014_B_067,High yield
0.17,0.018,11.538,0.722,4.565,1.345,5.064,0.06,0.003,0.021,Quebec,Stevens,High yield,2015_060,High yield
0.254913801,0.045060873,10.675,1.27802633,3.02093242,1.688846717,7.22171355,0.050383108,0.003964639,0.013779022,Quebec,Stevens,High yield,2016_142,High yield
0.416,0.0707,12.0,1.1,5.7,1.7,9.2,0.0252,0.00332,0.0229,Quebec,Stevens,High yield,2000_132,High yield
0.409,0.076,12.2,1.1,5.9,1.9,8.1,0.034,0.006,0.02,Quebec,Stevens,High yield,2014_B_058,High yield
0.163,0.044,10.8,1.0,4.0,2.0,11.0,0.024,0.004,0.017,Quebec,Stevens,High yield,2015_B_032,High yield
0.261,0.073,11.8,1.0,5.0,2.0,10.0,0.028,0.007,0.018,Quebec,Stevens,High yield,2015_B_015,High yield
0.18,0.106,11.195,1.045,4.464,2.244,9.17,0.0545,0.004,0.005,Quebec,Stevens,High yield,2014_126,High yield
0.145,0.085,11.012,0.719,4.094,1.552,6.481,0.04,0.002,0.048,Quebec,Stevens,High yield,2015_091,High yield
0.181,0.278,11.286,0.867,4.718,1.921,7.906,0.0703,0.002,0.011,Quebec,Stevens,High yield,2014_013,High yield
0.322,0.078,11.2,1.0,5.1,1.9,8.4,0.029,0.006,0.02,Quebec,Stevens,High yield,2014_B_071,High yield
0.192,0.106,9.9375,1.02,5.657,2.019,8.608,0.0767,0.002,0.005,Quebec,Stevens,High yield,2014_141,High yield
0.191,0.144,9.8828,0.833,5.242,1.858,7.802,0.0704,0.003,0.018,Quebec,Stevens,High yield,2014_059,High yield
0.714,0.0618,13.0,1.5,5.2,1.9,8.1,0.0309,0.0154,0.0315,Quebec,Stevens,High yield,2000_061,High yield
0.242671732,0.060177047,10.493,1.143720184,5.646806232,1.786382965,7.00172011,0.067272789,0.003486068,0.019113182,Quebec,Stevens,High yield,2016_134,High yield
0.293,0.058,10.9,1.1,5.5,2.1,8.3,0.032,0.005,0.024,Quebec,Stevens,High yield,2014_B_044,High yield
0.118,0.043,10.7,1.0,4.0,1.0,9.0,0.016,0.004,0.011,Quebec,Grygleski Hybrid 1,High yield,2015_B_035,High yield
0.225,0.133,10.856,1.115,5.301,2.219,9.19,0.0648,0.005,0.007,Quebec,Stevens,High yield,2014_123,High yield
0.393,0.087,12.201,1.028,5.373,2.076,9.031,0.063,0.003,0.027,Quebec,Stevens,High yield,2014_086,High yield
0.139,0.07,9.8026,0.616,4.291,1.42,6.4,0.05,0.003,0.018,Quebec,Stevens,High yield,2015_119,High yield
0.242,0.132,10.845,1.033,5.205,2.174,9.126,0.0517,0.003,0.028,Quebec,Stevens,High yield,2014_091,High yield
0.47,0.09,10.8,1.1,5.1,2.1,8.4,0.035,0.005,0.02,Quebec,Stevens,High yield,2014_B_059,High yield
0.493,0.094,11.9,1.0,5.0,2.0,9.0,0.043,0.005,0.02,Quebec,Stevens,High yield,2015_B_053,High yield
0.168896147,0.092376188,9.1067,1.014917632,5.537825046,1.84402022,7.626178857,0.093673859,0.004188385,0.023687087,Quebec,Stevens,High yield,2016_113,High yield
0.466,0.066,11.8,1.2,5.2,2.2,8.9,0.042,0.005,0.023,Quebec,Stevens,High yield,2014_B_032,High yield
0.35429464,0.047052544,11.655,1.355124743,6.36619829,1.928056742,7.728817026,0.06975993,0.004453022,0.027073538,Quebec,Stevens,High yield,2016_092,High yield
0.14535,0.06099,9.6061,1.31875,5.85337,2.14448,7.05973,0.03279,0.0053,0.01966,Quebec,Stevens,High yield,2018_129,High yield
0.194,0.082,10.713,1.01,5.016,2.233,8.56,0.0732,0.002,0.008,Quebec,Stevens,High yield,2014_143,High yield
0.33292,0.06819,8.286,1.18016,5.65656,2.05791,7.66067,0.03246,0.00471,0.02318,Quebec,Stevens,High yield,2018_055,High yield
0.438,0.068,10.8,1.2,5.4,2.0,9.0,0.044,0.006,0.027,Quebec,Stevens,High yield,2014_B_017,High yield
0.35896,0.18522,9.9704,1.17089,6.05153,2.52328,10.04801,0.06094,0.00518,0.0244,Quebec,Stevens,High yield,2018_031,High yield
0.694114678,0.065416276,11.381,1.366931893,6.066591042,2.002506112,7.61265697,0.084259752,0.004610685,0.028702025,Quebec,Stevens,High yield,2016_089,High yield
0.298131184,0.043453374,11.177,1.296666791,5.369259481,1.800085433,6.93569817,0.066328281,0.003795356,0.017784339,Quebec,Stevens,High yield,2016_126,High yield
0.192,0.083,11.2,1.0,4.0,2.0,10.0,0.036,0.004,0.019,Quebec,Stevens,High yield,2015_B_045,High yield
0.3257,0.1404,9.8,1.1,4.4,2.7,15.4,0.0882,0.0015,0.0205,Wisconsin,Crimson Queen,High yield,AA_034,High yield
0.276231028,0.059240109,11.533,1.200056598,7.969211548,1.588584036,4.955150622,0.110181421,0.005689894,0.01393602,Quebec,Stevens,High yield,2016_067,High yield
0.161,0.076,10.838,1.0,5.088,2.05,8.388,0.062,0.002,0.003,Quebec,Stevens,High yield,2014_144,High yield
0.196,0.09,11.867,1.025,5.682,1.926,7.141,0.0509,0.002,0.004,Quebec,Stevens,High yield,2014_130,High yield
0.52,0.07,11.0,1.0,5.6,2.0,10.0,0.07,0.0,0.03,Quebec,Stevens,High yield,2016_C_030,High yield
0.143,0.131,9.0718,0.755,4.896,1.747,7.61,0.0722,0.003,0.03,Quebec,Stevens,High yield,2014_057,High yield
0.172,0.073,11.4,1.1,5.3,2.0,8.0,0.022,0.007,0.018,Quebec,Stevens,High yield,2014_B_069,High yield
0.174,0.011,11.011,0.67,4.183,1.319,4.574,0.06,0.001,0.051,Quebec,Stevens,High yield,2015_048,High yield
0.287,0.064,9.5,1.0,5.5,1.7,6.4,0.031,0.005,0.017,Quebec,Stevens,High yield,2014_B_052,High yield
0.775,0.0631,12.0,1.2,4.8,2.3,10.9,0.0399,0.00424,0.024,Quebec,Stevens,High yield,2000_041,High yield
0.493,0.0713,10.0,0.9,4.2,1.7,10.9,0.0287,0.00362,0.0222,Quebec,Stevens,High yield,2001_052,High yield
0.172,0.03,9.7563,0.747,4.204,1.637,5.387,0.08,0.001,0.041,Quebec,Stevens,High yield,2015_055,High yield
0.68341,0.05733,10.718,1.15798,5.99169,2.23064,8.6854,0.04772,0.0048,0.02796,Quebec,Stevens,High yield,2018_078,High yield
0.256152311,0.049119334,9.2182,1.038134964,2.548693205,1.992598095,8.312395957,0.071076054,0.003995136,0.014949472,Quebec,Stevens,High yield,2016_138,High yield
0.202,0.101,11.9,1.0,4.0,1.0,7.0,0.023,0.003,0.01,Quebec,Grygleski Hybrid 1,High yield,2015_B_064,High yield
0.18153,0.06794,10.197,1.1696,6.08218,1.98871,7.64167,0.0388,0.00491,0.02006,Quebec,Stevens,High yield,2018_120,High yield
0.318,0.076,10.67,0.988,4.859,2.114,9.436,0.066,0.003,0.026,Quebec,Stevens,High yield,2014_108,High yield
0.43984,0.06993,8.3938,1.12398,5.37925,1.87678,7.62833,0.03271,0.0042,0.0227,Quebec,Stevens,High yield,2018_066,High yield
0.474,0.067,10.2,1.1,5.5,2.0,7.4,0.036,0.005,0.019,Quebec,Stevens,High yield,2014_B_053,High yield
0.4148,0.10669,9.7758,1.16861,5.55404,2.08176,9.14599,0.04528,0.00479,0.02339,Quebec,Stevens,High yield,2018_112,High yield
0.215370533,0.058507418,11.551,1.133579484,3.079628225,1.842293282,7.255264939,0.083556572,0.003531601,0.013357249,Quebec,Stevens,High yield,2016_143,High yield
0.414141691,0.069652618,10.68,1.322657363,7.350874167,1.921361508,6.928094917,0.091009198,0.004534301,0.025946205,Quebec,Stevens,High yield,2016_093,High yield
0.22,0.09,10.0,0.9,4.7,2.2,11.4,0.02,0.0,0.03,Quebec,Stevens,High yield,2016_AB_021,High yield
0.148,0.063,11.3,1.1,4.9,2.2,9.0,0.024,0.006,0.02,Quebec,Stevens,High yield,2014_B_070,High yield
0.19851,0.07136,10.384,1.32326,6.25806,2.16521,7.55708,0.04021,0.00524,0.0222,Quebec,Stevens,High yield,2018_123,High yield
0.1918,0.1468,9.0,1.2,5.5,2.7,12.5,0.0819,0.0027,0.0156,Wisconsin,Crimson Queen,High yield,AA_025,High yield
0.994,0.0701,12.0,1.0,5.6,1.6,10.7,0.0339,0.00519,0.0339,Quebec,Stevens,High yield,2000_084,High yield
0.2,0.103,12.0,1.2,6.0,1.8,9.2,0.0527,0.00359,0.0191,Quebec,Stevens,High yield,2001_009,High yield
0.59,0.07,10.0,0.9,4.7,1.9,10.0,0.06,0.0,0.02,Quebec,Stevens,High yield,2016_C_032,High yield
0.23362,0.06044,8.4307,0.98939,4.98999,1.89195,7.07641,0.02657,0.00398,0.01882,Quebec,Stevens,High yield,2018_061,High yield
0.4368,0.6665,8.6,1.4,5.6,2.5,9.2,0.0383,0.0095,0.0631,Wisconsin,Stevens,High yield,AA_002,High yield
0.14172,0.06083,9.8348,1.29044,5.91701,1.96078,7.05788,0.03404,0.00484,0.01902,Quebec,Stevens,High yield,2018_144,High yield
0.47,0.31,11.0,1.2,5.3,2.2,10.1,0.06,0.0,0.03,Quebec,Stevens,High yield,2016_C_041,High yield
0.152,0.024,10.256,0.747,4.025,1.415,4.591,0.05,0.001,0.046,Quebec,Stevens,High yield,2015_051,High yield
0.55857165,0.064910676,11.156,1.295361592,6.766366824,1.952965594,7.148434002,0.088399601,0.004060765,0.02718458,Quebec,Stevens,High yield,2016_099,High yield
0.1827,1.7816,11.7,1.4,6.9,2.5,9.9,0.0421,0.005,0.0802,Wisconsin,Stevens,High yield,AA_046,High yield
0.46,0.0616,12.0,1.1,5.3,1.5,9.1,0.0255,0.00336,0.019,Quebec,Stevens,High yield,2001_053,High yield
0.792,0.0645,11.0,1.0,5.7,1.6,12.3,0.042,0.00467,0.0304,Quebec,Stevens,High yield,2000_088,High yield
0.553,0.0768,11.0,1.1,5.4,1.7,9.9,0.0262,0.0034,0.0226,Quebec,Stevens,High yield,2000_159,High yield
0.345,0.176,10.979,1.011,5.259,2.109,9.62,0.0612,0.003,0.025,Quebec,Stevens,High yield,2014_095,High yield
0.200991601,0.056738628,9.4973,1.211655634,6.65878017,1.741994318,6.485414395,0.088598865,0.00421389,0.018337519,Quebec,Stevens,High yield,2016_123,High yield
0.167,0.055,10.6,1.0,5.0,1.0,9.0,0.026,0.004,0.013,Quebec,Grygleski Hybrid 1,High yield,2015_B_055,High yield
0.493,0.0713,10.0,0.9,4.2,1.7,10.9,0.0287,0.00362,0.0222,Quebec,Stevens,High yield,2000_150,High yield
0.235,0.233,12.0,1.4,5.7,1.9,11.5,0.0362,0.00347,0.0236,Quebec,Stevens,High yield,2000_027,High yield
0.11,0.08,10.24,0.723,4.419,1.246,4.626,0.05,0.002,0.012,Quebec,Stevens,High yield,2015_129,High yield
0.413349958,0.052965407,11.735,1.179284545,6.518976015,1.555934622,5.391990908,0.071969451,0.004900848,0.018826838,Quebec,Stevens,High yield,2016_072,High yield
0.263449182,0.146142171,9.4365,1.227288564,6.842515986,1.795529812,7.155542757,0.079500796,0.004242396,0.025508068,Quebec,Stevens,High yield,2016_087,High yield
0.182,0.104,10.74,0.913,4.268,2.188,8.445,0.0555,0.003,0.013,Quebec,Stevens,High yield,2014_014,High yield
0.236,0.078,11.931,0.966,4.969,1.949,8.038,0.0585,0.002,0.016,Quebec,Stevens,High yield,2014_118,High yield
0.296,0.115,11.7,1.1,5.2,2.2,8.5,0.036,0.005,0.021,Quebec,Stevens,High yield,2014_B_047,High yield
0.7,,11.0,1.0,5.2,2.1,10.1,0.07,0.01,0.02,Quebec,Stevens,High yield,2016_C_034,High yield
0.21,0.116,11.303,0.971,4.536,2.235,8.793,0.0575,0.002,0.013,Quebec,Stevens,High yield,2014_015,High yield
0.21475,0.05497,10.511,1.21806,5.8241,2.04293,7.71839,0.03557,0.005,0.02112,Quebec,Stevens,High yield,2018_119,High yield
0.16,0.05,11.0,1.0,4.5,2.0,10.2,0.01,0.0,0.03,Quebec,Stevens,High yield,2016_AB_019,High yield
0.364,0.072,10.4,1.3,5.5,2.0,8.8,0.046,0.006,0.028,Quebec,Stevens,High yield,2014_B_015,High yield
0.2587,0.0759,12.0,1.6,7.7,2.4,9.5,0.0548,0.0039,0.0213,Wisconsin,HyRed,High yield,AA_050,High yield
0.308,0.151,11.219,1.006,4.858,2.182,10.057,0.0653,0.002,0.026,Quebec,Stevens,High yield,2014_101,High yield
0.204298929,0.042291215,9.862,0.967799509,5.823467611,1.608215935,7.41390195,0.077615044,0.003573283,0.016752736,Quebec,Stevens,High yield,2016_120,High yield
0.184,0.053,11.616,0.715,4.572,1.403,5.623,0.05,0.001,0.04,Quebec,Stevens,High yield,2015_107,High yield
0.237,0.151,10.223,0.903,4.78,2.278,8.213,0.0543,0.004,0.014,Quebec,Stevens,High yield,2014_005,High yield
0.126,0.076,11.1,1.1,5.1,2.1,6.6,0.029,0.004,0.018,Quebec,Stevens,High yield,2014_B_048,High yield
0.229,0.037,10.126,0.662,4.761,1.471,5.499,0.05,0.002,0.022,Quebec,Stevens,High yield,2015_062,High yield
0.155,0.118,10.254,1.036,5.239,2.29,9.061,0.0681,0.003,0.006,Quebec,Stevens,High yield,2014_135,High yield
0.366,0.185,9.68,0.926,4.815,2.074,9.674,0.0582,0.004,0.031,Quebec,Stevens,High yield,2014_077,High yield
1.23,0.072,12.0,1.1,5.4,1.7,11.2,0.0328,0.00451,0.0358,Quebec,Stevens,High yield,2000_103,High yield
0.169,0.111,12.0,1.2,6.5,1.7,9.2,0.0467,0.00418,0.0183,Quebec,Stevens,High yield,2000_029,High yield
0.37,0.07,10.0,1.0,5.4,2.0,11.6,0.09,0.0,0.03,Quebec,Stevens,High yield,2016_C_024,High yield
0.39,0.06,11.0,1.0,5.1,2.0,9.6,0.07,0.0,0.03,Quebec,Stevens,High yield,2016_C_023,High yield
0.5019,0.3612,8.5,1.4,5.9,2.7,9.7,0.0375,0.0057,0.0365,Wisconsin,Stevens,High yield,AA_001,High yield
0.27458,0.07832,9.0703,1.12887,4.90055,2.19535,9.15681,0.03649,0.00439,0.02176,Quebec,Stevens,High yield,2018_111,High yield
0.279615587,0.056002569,8.5236,0.993974272,7.72802896,1.803113216,6.124320253,0.041926145,0.003434502,0.015604774,Quebec,Stevens,High yield,2017_067,High yield
0.187,0.211,13.0,1.5,7.1,1.7,10.0,0.0324,0.00409,0.0206,Quebec,Stevens,High yield,2000_033,High yield
0.269,0.077,11.0,1.0,4.0,2.0,11.0,0.026,0.006,0.022,Quebec,Bergman,High yield,2015_B_073,High yield
0.4273,0.1494,9.1,1.2,4.5,2.6,15.0,0.0894,0.0015,0.0212,Wisconsin,Crimson Queen,High yield,AA_036,High yield
0.388,0.056,11.121,0.976,4.842,2.058,9.936,0.0538,0.004,0.033,Quebec,Stevens,High yield,2014_082,High yield
0.0,0.0,9.8,1.0,5.0,2.0,8.0,0.0,0.0,0.0,Quebec,Stevens,High yield,2016_B_017,High yield
0.153,0.013,10.83,0.702,4.075,1.389,4.749,0.05,0.001,0.042,Quebec,Stevens,High yield,2015_045,High yield
0.184,0.088,10.954,0.979,4.91,2.053,7.858,0.0593,0.002,0.013,Quebec,Stevens,High yield,2014_022,High yield
0.2918,0.4589,9.1,1.8,7.8,2.2,10.8,0.0455,0.0025,0.0278,Wisconsin,HyRed,High yield,AA_005,High yield
0.804,0.059,11.9,1.0,4.0,2.0,10.0,0.031,0.006,0.013,Quebec,Grygleski Hybrid 1,High yield,2015_B_075,High yield
0.375,0.129,9.9,1.0,5.3,1.9,8.5,0.031,0.005,0.017,Quebec,Stevens,High yield,2014_B_074,High yield
0.195,0.124,9.3396,0.762,5.064,1.647,7.608,0.0705,0.002,0.011,Quebec,Stevens,High yield,2014_065,High yield
0.164,0.086,10.599,1.087,5.39,2.213,8.53,0.0606,0.002,0.005,Quebec,Stevens,High yield,2014_136,High yield
0.71,0.0643,12.0,1.3,5.1,1.9,8.3,0.0418,0.00503,0.0298,Quebec,Stevens,High yield,2000_062,High yield
0.27193,0.16669,9.6023,1.17687,6.09055,2.41632,9.92106,0.05535,0.00535,0.02408,Quebec,Stevens,High yield,2018_035,High yield
0.434796826,0.058363304,11.991,1.287021162,6.668073055,1.867975065,6.557831582,0.064633318,0.004544326,0.025504239,Quebec,Stevens,High yield,2016_094,High yield
0.57034,0.09959,10.118,1.16126,6.03971,1.82279,8.56569,0.03981,0.00423,0.0201,Quebec,Stevens,High yield,2018_110,High yield
0.417,0.0603,11.0,1.1,5.6,1.7,8.8,0.0296,0.00351,0.0218,Quebec,Stevens,High yield,2001_049,High yield
0.310822948,0.068987313,10.675,1.31377331,6.026511711,2.077872943,7.715834184,0.070984735,0.004114463,0.027694887,Quebec,Stevens,High yield,2016_091,High yield
0.24507,0.05273,8.6962,1.26461,5.7124,1.90707,6.65944,0.02406,0.00424,0.01824,Quebec,Stevens,High yield,2018_049,High yield
0.329,0.103,9.6,1.2,5.5,2.1,7.6,0.035,0.005,0.022,Quebec,Stevens,High yield,2014_B_038,High yield
0.145,0.009,9.6555,0.637,3.15,1.68,5.125,0.17,0.001,0.052,Quebec,Stevens,High yield,2015_054,High yield
0.3752,0.2755,9.8,1.2,5.5,2.6,14.2,0.077,0.0036,0.0213,Wisconsin,Crimson Queen,High yield,AA_072,High yield
0.2156,0.2952,9.8,2.0,8.4,2.4,9.5,0.0412,0.0029,0.024,Wisconsin,Crimson Queen,High yield,AA_043,High yield
0.417,0.0603,11.0,1.1,5.6,1.7,8.8,0.0296,0.00351,0.0218,Quebec,Stevens,High yield,2000_142,High yield
0.174,0.055,11.8,1.0,5.0,2.0,10.0,0.035,0.006,0.022,Quebec,Stevens,High yield,2015_B_006,High yield
0.451682775,0.050290886,6.0029,1.508751998,7.831171367,2.0040996,6.554813308,0.0787194,0.004793042,0.02766016,Quebec,Stevens,High yield,2016_108,High yield
0.744,0.11,11.0,1.1,4.7,1.8,10.1,0.0256,0.00352,0.0241,Quebec,Stevens,High yield,2000_163,High yield
0.298,0.125,11.356,0.971,5.031,2.1,9.222,0.0428,0.002,0.026,Quebec,Stevens,High yield,2014_097,High yield
0.296,0.084,10.8,1.1,5.4,2.0,8.0,0.03,0.005,0.019,Quebec,Stevens,High yield,2014_B_061,High yield
